"MASTER","ENTIDAD","PRECIO","TIPOLOGIA","METODOLOGIA","DURACION","BOLSAEMP","TELEFONO","X4","X6","URLIMAGEN","NOMBREIMAGEN","WEB",
"Master en Personal Trainer y Coach Deportivo + Titulación Universitaria","Escuela de Rendimiento Deportivo y Profesional","1299.0","Master","Sin Datos","Sin Datos","Sin Datos","Sin Datos","Euroinnova Business School","['PARTE 1. INSTRUCTOR DE FITNESS ', 'MUSICAL', 'UNIDAD DIDÁCTICA 1.TIVA BASES ANATÓMICAS ', 'Y FISIOLÓGICAS DEL MOVIMIENTO', 'UNIDAD DIDÁCTICA 2. METABOLISMO EN ', 'FISIOLOGÍA DEL EJERCICIO', 'UNIDAD DIDÁCTICA 3. FUNDAMENTOS DE ', 'PSICOLOGÍA Y SOCIOLOGÍA APLICADOS AL OCIO ', 'Y A LAS ACTIVIDADES DE ACONDICIONAMIENTO', 'FÍSICO.', 'UNIDAD DIDÁCTICA 4. TÉCNICA Y ALINEACIÓN ', 'SEGMENTARIA EN EL FITNESS COLECTIVO CON ', 'SOPORTE MUSICAL.', 'UNIDAD DIDÁCTICA 5. ESTRUCTURA RÍTMICA EN ', 'FITNESS COLECTIVO CON SOPORTE MUSICAL.', 'UNIDAD DIDÁCTICA 6. PASOS, GESTOS TÉCNICOS ', 'Y COMBINACIONES EN EL FITNES COLECTIVO ', 'CON SOPORTE MUSICAL. EJECUCIÓN TÉCNICA.', 'UNIDAD DIDÁCTICA 7. COMBINACIONES ', 'COREOGRÁFICAS, ESTILOS Y MODALIDADES.', 'UNIDAD DIDÁCTICA 8. DIETÉTICA Y NUTRICIÓN ', 'APLICADA AL FITNESS', 'UNIDAD DIDÁCTICA 9. TEORÍA DEL ', 'ENTRENAMIENTO APLICADA AL FITNESS', 'UNIDAD DIDÁCTICA 10. COLECTIVOS CON ', 'NECESIDADES ESPECIALES EN LAS ', 'ACTIVIDADES FÍSICAS Y DEPORTIVAS.', 'UNIDAD DIDÁCTICA 11. LESIONES DEPORTIVAS. ', 'PREVENCIÓN Y TRATAMIENTO', 'UNIDAD DIDÁCTICA 12. PRIMEROS AUXILIOS APLICADOS AL FITNESS', 'PARTE 2. COACHING DEPORTIVO', 'UNIDAD FORMATIVA 1. INTRODUCCIÓN AL ', 'COACHING', 'UNIDAD DIDÁCTICA 1. COACHING: CONCEPTO, ', 'DISCIPLINA E HISTORIA', 'UNIDAD DIDÁCTICA 2. EL COACH Y SU PAPEL', 'UNIDAD DIDÁCTICA 3. EL COACHEE, EL ', 'PROTAGONISTA DEL PROCESO', 'UNIDAD DIDÁCTICA 4. DISCIPLINAS DEL ', 'COACHING', 'UNIDAD DIDÁCTICA 5. CÓDIGO ÉTICO Y ', 'DEONTOLÓGICO DEL COACHING', 'UNIDAD DIDÁCTICA 6. DE LA TEORÍA A LA ', 'PRÁCTICA: LAS SESIONES DEL COACHING', 'UNIDAD FORMATIVA 2. EL COACHING DEPORTIVO', 'UNIDAD DIDÁCTICA 1. INTRODUCCIÓN AL ', 'COACHING DEPORTIVO', 'UNIDAD DIDÁCTICA 2. LA FIGURA DEL “COACH” ', 'DEPORTIVO', 'UNIDAD DIDÁCTICA 3. DEPORTE Y EDUCACIÓN ', 'EN VALORES', 'UNIDAD DIDÁCTICA 4. PSICOLOGÍA DEL DEPORTE ', 'Y COACHING DEPORTIVO', 'UNIDAD DIDÁCTICA 5. PNL APLICADA AL ', 'COACHING DEPORTIVO', 'SOLUCIONARIO', 'BIBLIOGRAFÍA']","https://www.emagister.com/assets/es/logos/centro/id/1155660/size/l.png","['l.png']","https://www.emagister.com/master-fitness-musical-master-coaching-deportivo-cursos-3627307.htm",
"Postgrado Deportivo en Musculación y Fitness: Entrenador Personal y Nutrición","GES Formación","499.0","Postgrado","A distancia","450h","Sin Datos",958912561,"Plantea tus dudas y otros usuarios podran responderte","[]","https://www.emagister.com/assets/es/logos/centro/id/117249/size/l.jpg","['l.jpg']","https://www.emagister.com/postgrado-deportivo-musculacion-fitness-entrenador-personal-nutricion-cursos-2992064.htm",
"Experto universitario en Planificación de Programas Fitness con Entrenador Personal","EFAD - Escuela de Formación Abierta para el Deporte","Precio a consultar","Experto universitario","A distancia","600h","Sin Datos",876871851,"Plantea tus dudas y otros usuarios podran responderte","['CONTEXTUALIZACIÓN DEL ACONDICIONAMIENTO FÍSICO EN EL TIEMPO DE OCIO (6 ECTS)', 'EL TRABAJO DE LOS PRINCIPALES COMPONENTES DE LA CONDICIÓN FÍSICA (6 ECTS)', ' ', 'EL ENTRENADOR PERSONAL (6 ECTS)', ' ', 'PLANIFICACIÓN, PROGRAMACIÓN Y EVALUACIÓN DEL PROGRAMA (6 ECTS)']","https://www.emagister.com/assets/es/logos/centro/id/127211/size/l.jpg","['l.jpg']","https://www.emagister.com/experto-universitario-planificacion-programas-fitness-entrenador-personal-cursos-3606853.htm",
"Master en Dirección de Programas Fitness-Wellness + Titulación Universitaria","Escuela de Rendimiento Deportivo y Profesional","1299.0","Master","Sin Datos","Sin Datos","Sin Datos","Sin Datos","Euroinnova Business School","['PARTE 1. INSTRUCTOR DE FITNESS ', 'MUSICAL ', 'UNIDAD DIDÁCTICA 1.TIVA BASES ANATÓMICAS ', 'Y FISIOLÓGICAS DEL MOVIMIENTO ', 'UNIDAD DIDÁCTICA 2. METABOLISMO EN ', 'FISIOLOGÍA DEL EJERCICIO ', 'UNIDAD DIDÁCTICA 3. FUNDAMENTOS DE ', 'PSICOLOGÍA Y SOCIOLOGÍA APLICADOS AL OCIO ', 'Y A LAS ACTIVIDADES DE ACONDICIONAMIENTO', 'FÍSICO. ', 'UNIDAD DIDÁCTICA 4. TÉCNICA Y ALINEACIÓN ', 'SEGMENTARIA EN EL FITNESS COLECTIVO CON ', 'SOPORTE MUSICAL. ', 'UNIDAD DIDÁCTICA 5. ESTRUCTURA RÍTMICA EN ', 'FITNESS COLECTIVO CON SOPORTE MUSICAL. ', 'UNIDAD DIDÁCTICA 6. PASOS, GESTOS TÉCNICOS ', 'Y COMBINACIONES EN EL FITNES COLECTIVO ', 'CON SOPORTE MUSICAL. EJECUCIÓN TÉCNICA. ', 'UNIDAD DIDÁCTICA 7. COMBINACIONES ', 'COREOGRÁFICAS, ESTILOS Y MODALIDADES. ', 'UNIDAD DIDÁCTICA 8. DIETÉTICA Y NUTRICIÓN ', 'APLICADA AL FITNESS ', 'UNIDAD DIDÁCTICA 9. TEORÍA DEL ', 'ENTRENAMIENTO APLICADA AL FITNESS ', 'UNIDAD DIDÁCTICA 10. COLECTIVOS CON ', 'NECESIDADES ESPECIALES EN LAS ', 'ACTIVIDADES FÍSICAS Y DEPORTIVAS. ', 'UNIDAD DIDÁCTICA 11. LESIONES DEPORTIVAS. ', 'PREVENCIÓN Y TRATAMIENTO ', 'UNIDAD DIDÁCTICA 12. PRIMEROS AUXILIOS APLICADOS AL FITNESS ', 'PARTE 2. COACHING DEPORTIVO ', 'UNIDAD FORMATIVA 1. INTRODUCCIÓN AL ', 'COACHING ', 'UNIDAD DIDÁCTICA 1. COACHING: CONCEPTO, ', 'DISCIPLINA E HISTORIA ', 'UNIDAD DIDÁCTICA 2. EL COACH Y SU PAPEL ', 'UNIDAD DIDÁCTICA 3. EL COACHEE, EL ', 'PROTAGONISTA DEL PROCESO ', 'UNIDAD DIDÁCTICA 4. DISCIPLINAS DEL ', 'COACHING ', 'UNIDAD DIDÁCTICA 5. CÓDIGO ÉTICO Y ', 'DEONTOLÓGICO DEL COACHING ', 'UNIDAD DIDÁCTICA 6. DE LA TEORÍA A LA ', 'PRÁCTICA: LAS SESIONES DEL COACHING ', 'UNIDAD FORMATIVA 2. EL COACHING DEPORTIVO ', 'UNIDAD DIDÁCTICA 1. INTRODUCCIÓN AL ', 'COACHING DEPORTIVO ', 'UNIDAD DIDÁCTICA 2. LA FIGURA DEL “COACH” ', 'DEPORTIVO ', 'UNIDAD DIDÁCTICA 3. DEPORTE Y EDUCACIÓN ', 'EN VALORES ', 'UNIDAD DIDÁCTICA 4. PSICOLOGÍA DEL DEPORTE ', 'Y COACHING DEPORTIVO ', 'UNIDAD DIDÁCTICA 5. PNL APLICADA AL ', 'COACHING DEPORTIVO ', 'SOLUCIONARIO ', 'BIBLIOGRAFÍA']","https://www.emagister.com/assets/es/logos/centro/id/1155660/size/l.png","['l.png']","https://www.emagister.com/master-fitness-musical-master-coaching-deportivo-cursos-3631984.htm",
"Máster en musculación y fitness + Máster en personal trainer- acreditado federación española de fitness + carné federado","ESCUELA INTERNACIONAL DE CIENCIAS DEPORTIVAS","620.0","Master","Online","600h","Sin Datos",977973104,"Plantea tus dudas y otros usuarios podran responderte","['PARTE 1. MUSCULACIÓN Y FITNESS I', 'INTRODUCCIÓN', 'MÓDULO 1. INTRODUCCIÓN AL FITNESS', 'MÓDULO 2. FIGURA DEL MONITOR DE MUSCULACIÓN Y FITNESS', 'MÓDULO 3. BASES ANATÓMICAS Y FISIOLÓGICAS DEL MOVIMIENTO', 'MÓDULO 4. SISTEMA ESQUELÉTICO', 'MÓDULO 5. SISTEMA MUSCULAR', 'MÓDULO 6. SISTEMAS ENERGÉTICOS Y METABOLISMO EN EL EJERCICIO', 'MÓDULO 7. NUTRICIÓN Y DIETÉTICA EN EL EJERCICIO', 'SOLUCIONARIO', 'PARTE 2. MUSCULACIÓN Y FITNESS II', 'MÓDULO 8. FUNDAMENTOS DEL ENTRENAMIENTO DE MUSCULACIÓN Y FITNESS', 'MÓDULO 9. PLANIFICACIÓN DEL ENTRENAMIENTO DE MUSCULACIÓN Y FITNESS', 'MÓDULO 10. FLEXIBILIDAD', 'MÓDULO 11. FUERZA', 'MÓDULO 12. RESISTENCIA', 'MÓDULO 13. VELOCIDAD', 'MÓDULO 14. LESIONES DEPORTIVAS', 'MÓDULO 15. PRIMEROS AUXILIOS', 'SOLUCIONARIO', 'BIBLIOGRAFÍA', 'PARTE 3. PERSONAL TRAINER', 'SOLUCIONARIO', 'BIBLIOGRAFÍA']","https://www.emagister.com/assets/es/logos/centro/id/1156806/size/l.jpg","['l.jpg']","https://www.emagister.com/master-musculacion-fitness-master-personal-trainer-acreditado-federacion-espanola-fitness-carne-federado-cursos-3670329.htm",
"Máster en Diseño de Coreografías y Fitness, Monitor de Aeróbic y Step","Escuela Europea del Deporte","595.0","Master","A distancia","Sin Datos","Sin Datos",973975855,"Documentos","['Parte 1. Coreografías y fitness.', 'Modulo 1. Aspectos fundamentales para el monitor de fitness.', 'Unidad didáctica 1. Bases anatómicas y fisiológicas del movimiento.', 'Unidad didáctica 2. Sistema óseo', 'Unidad didáctica 3. Fisiología muscular', 'Unidad didáctica 4. Sistemas energéticos', 'Unidad didáctica 5. Metabolismo en fisiología del ejercicio.', 'Unidad didáctica 6. Dietética y nutrición aplicada al fitness.', 'Unidad didáctica 7. Teoría del entrenamiento aplicadas al fitness.', 'Unidad didáctica 8. Lesiones deportivas. Prevención y tratamiento.', 'Unidad didáctica 9. Primeros auxilios aplicados al fitness.', 'Módulo 2. Diseño coreográfico en el fitness colectivo con soporte musical.', 'Unidad didáctica 10. Música en fitness colectivo con soporte musical.', 'Unidad didáctica 11. Composición de coreografías, estilos y modalidades.', 'Unidad didáctica 12. Estrategias de enseñanza.', 'Unidad didáctica 13. El fitness colectivo con soporte musical como medio de acondicionamiento físico.', 'Unidad didáctica 14. Recursos técnicos para la elaboración de coreografías. Uso y aplicación.', 'Anexo 1. Ejercicios de estiramiento', 'Parte 2. Aerobic y step', 'Unidad didáctica 1. Estructura y funcionamiento del cuerpo humano', 'Unidad didáctica 2. Reacción y cambios en el cuerpo ante el ejercicio físico.', 'Unidad didáctica 3. Nutrición deportiva.', 'Unidad didáctica 4. El aeróbic y el step.', 'Unidad didáctica 5. Cualidades físicas básicas para el aeróbic y el step.', 'Unidad didáctica 6. Otras cualidades físicas importantes para el aeróbic y el step.', 'Unidad didáctica 7. La clase de aeróbic.', 'Unidad didáctica 8. La clase de step.', 'Unidad didáctica 9. Lesiones deportivas en aeróbic y step: prevención y tratamiento.']","https://www.emagister.com/assets/es/logos/centro/id/1136987/size/l.jpg","['l.jpg']","https://www.emagister.com/master-diseno-coreografias-fitness-monitor-aerobic-step-cursos-3454551.htm",
"Postgrado Deportivo en Musculación y Fitness: Entrenador Personal y Nutrición","GES Formación","499.0","Postgrado","Online","450h","Sin Datos",958912561,"Plantea tus dudas y otros usuarios podran responderte","['CURSO SUPERIOR DE ENTRENADOR PERSONAL: MUCULACIÓN Y FITNESS', 'TÉCNICO ESPECIALISTA EN NUTRICIÓN EN LA PRÁCTICA DEPORTIVA']","https://www.emagister.com/assets/es/logos/centro/id/117249/size/l.jpg","['l.jpg']","https://www.emagister.com/postgrado-deportivo-musculacion-fitness-entrenador-personal-nutricion-cursos-2961937.htm",
"MÁSTER EN MUSCULACIÓN Y FITNESS + MÁSTER COACHING DEPORTIVO","Escuela de Rendimiento Deportivo y Profesional","595.0","Master","A distancia","Sin Datos","Sin Datos",973975855,"Plantea tus dudas y otros usuarios podran responderte","['PARTE 1. MUSCULACIÓN Y<br>FITNESS<br>UNIDAD FORMATIVA I. ASPECTOS TEÓRICOS<br>UNIDAD DIDACTICA 1. BASES ANATÓMICAS Y<br>FISIOLÓGICAS DEL MOVIMIENTO<br>1. Introducción a la fisioterapia<br>2. Fundamentos anatómicos del movimiento<br>UNIDAD DIDACTICA 2. SISTEMA ÓSEO<br>1. Morfología<br>2. Fisiología<br>3. División del esqueleto<br>4. Desarrollo óseo<br>5. Sistema óseo<br>6. Articulaciones y movimiento<br>UNIDAD DIDACTICA 3. FISIOLOGÍA MUSCULAR<br>1. Introducción<br>2. Tejido muscular<br>3. Clasificación muscular<br>4. Acciones musculares<br>5. Ligamentos<br>6. Musculatura dorsal<br>7. Tendones<br>UNIDAD DIDACTICA 4. SISTEMAS ENERGÉTICOS<br>1. Sistema energético<br>2. ATP (Adenosina Trifosfato)<br>3. Tipos de fuentes energéticas<br>4. Sistema anaeróbico aláctico o sistema de<br>fosfágeno<br>5. Sistema anaeróbico láctico o glucólisis anaeróbica<br>6. Sistema aeróbico u oxidativo<br>UNIDAD DIDACTICA 5. METABOLISMO EN<br>FISIOLOGÍA DEL EJERCICIO<br>1. El ejercicio físico<br>2. Adaptaciones Orgánicas en el Ejercicio<br>3. Metabolismo energético durante el ejercicio. La<br>fatiga<br>UNIDAD DIDACTICA 6. DIETÉTICA Y NUTRICIÓN<br>APLICADA A LA MUSCULACIÓN Y FITNESS<br>1. Introducción<br>2. Nutrición y salud<br>3. Necesidad de nutrientes<br>4. Hidratación y rendimiento deportivo<br>5. Las ayudas ergogénicas<br>6. Elaboración de dietas<br>UNIDAD DIDACTICA 7. TEORÍA DEL<br>ENTRENAMIENTO APLICADO A LA MUSCULACIÓN<br>Y FITNESS.<br>1. Introducción al entrenamiento<br>2. Teorías que explican los fenómenos de adaptación<br>del organismo a los esfuerzos<br>3. Factores que intervienen en el entrenamiento físico<br>4. Medición y evaluación de la condición física<br>5. Calentamiento y enfriamiento<br>6. Técnicas de relajación y respiración<br>7. Entrenamiento de la flexibilidad<br>8. Entrenamiento cardiovascular o aeróbico<br>9. Entrenamiento muscular<br>10. Entrenamiento de la fuerza<br>11. El desentrenamiento<br>12. Conducta de higiene en el entrenamiento<br>UNIDAD DIDACTICA 8. LESIONES DEPORTIVAS.<br>PREVENCIÓN Y TRATAMIENTO<br>1. Introducción a las lesiones deportivas<br>2. Definición<br>3. La prevención<br>4. Tratamiento<br>5. Lesiones deportivas frecuentes<br>6. ¿Qué debes hacer si te lesionas durante la<br>realización del ejercicio físico?<br>7. ¿Qué puedes hacer si te lesionas?<br>8. Causas más comunes de las lesiones en el<br>entrenamiento<br>9. Técnicas utilizadas en la prevención y tratamiento<br>de lesiones<br>UNIDAD DIDACTICA 9. PRIMEROS AUXILIOS<br>APLICADOS A LA MUSCULACIÓN Y FITNESS<br>1. Introducción a los Primeros Auxilios<br>2. Actuaciones en primeros auxilios<br>3. Normas generales para la realización de vendajes<br>4. Maniobras de resucitación cardiopulmonar<br>ESCUELA DE ALTO RENDIMIENTO | REND027<br>ANEXO 1. EJERCICIOS DE ESTIRAMIENTO<br>UNIDAD FORMATIVA II. PRÁCTICA. DVD<br>TONIFICACIÓN DIRIGIDA<br>1. Introducción.<br>2. Calentamiento.<br>3. Cuádriceps<br>4. Pectorales.<br>5. Espalda.<br>6. Bíceps.<br>7. Lunges.<br>8. Hombros.<br>9. Abdominales.<br>10. Estiramientos.<br>PARTE 2. COACHING DEPORTIVO<br>MÓDULO 1. INTRODUCCIÓN AL COACHING<br>UNIDAD DIDÁCTICA 1. COACHING: CONCEPTO,<br>DISCIPLINA E HISTORIA<br>1. El concepto de coaching<br>• Origen etimológico<br>• Definiciones<br>2. Historia del coaching<br>• Orígenes filosóficos<br>• Influencias de la Edad Moderna<br>• Siglo XIX: Stuart Mill, Kierkegaard y<br>Nietzche<br>• Corrientes del siglo XX<br>3. Diferencias entre el coaching y otras disciplinas<br>• Mentoring vs. Coaching<br>• Consultoría vs. Coaching<br>• Tutoría vs. Coaching<br>• Feedback vs. Coaching<br>• Evaluación vs. Coaching<br>• Terapia psicológica y psiquiátrica vs.<br>Coaching<br>UNIDAD DIDÁCTICA 2. PERFIL DEL COACH<br>1. Aptitudes<br>2. Errores más comunes del coach<br>UNIDAD DIDÁCTICA 3. COACHEE: EL<br>PROTAGONISTA DEL PROCESO<br>1. ¿Quién es el coachee?<br>• Características del coachee<br>2. Aspectos sociales y cognitivos del coachee<br>UNIDAD DIDÁCTICA 4. DISCIPLINAS DEL<br>COACHING<br>1. Disciplinas del coaching<br>• Según el contenido<br>o Coaching personal, de vida o life<br>coach<br>o Coaching ejecutivo o estratégico<br>o Coaching empresarial<br>o Coaching nutricional<br>o Coaching deportivo o personal<br>training<br>o Coaching educativo, infantil y<br>adolescente<br>o Coaching familiar y de parejas<br>• Según el método<br>o Coaching sistémico<br>o Coaching ontológico<br>o Coaching con inteligencia<br>emocional<br>o Coaching coercitivo<br>o Coaching PNL<br>o Coaching cognitivo<br>o Coaching Wingwave®<br>• Según el modelo<br>o Modelo anglosajón y/o<br>estadounidense: coaching<br>pragmático<br>o Modelo sudamericano o chileno:<br>coaching ontológico<br>o Modelo europeo o continental:<br>coaching humanista<br>UNIDAD DIDÁCTICA 5. CÓDIGO ÉTICO Y<br>DEONTOLÓGICO DEL COACHING<br>1. Consideraciones deontológicas y éticas del<br>coaching<br>• Código ético y deontológico según la<br>International Coach Federation<br>o Normas del código deontológico de<br>la ICF<br>o Juramento de la ética profesional<br>de la ICF<br>• Código ético y deontológico según la<br>Asociación Española de Coaching<br>o Código ético y deontológico<br>o Responsabilidades del coach<br>o Ámbito de aplicación<br>o Estándares de conducta ética<br>o Compromiso ético<br>ESCUELA DE ALTO RENDIMIENTO | REND027<br>UNIDAD DIDÁCTICA 6. SESIONES DE COACHING<br>1. Soy coach ¿por dónde empiezo?<br>• Metodología<br>2. Desarrollo de una sesión de coaching<br>• Fase I: establecer la relación de coaching<br>o Primera sesión de coaching<br>• Fase II: planificar la acción<br>• Fase III: el ciclo de coaching<br>• Fase IV: evaluación y seguimiento<br>3. Predisposición de avanzar del coachee<br>• Catalizadores de avances<br>• Catalizadores paralizantes<br>• Aprendizaje en el coaching<br>o Niveles de aprendizaje<br>4. Fin del proceso de coaching<br>• ¿Cuándo derivar a un psicólogo o a un<br>psiquiatra?<br>MÓDULO 2. APLICACIÓN DEL COACHING AL<br>DEPORTE<br>UNIDAD DIDÁCTICA 7. INTRODUCCIÓN AL<br>COACHING DEPORTIVO<br>1. ¿Qué es el coaching deportivo?<br>• Beneficios<br>• Orígenes<br>2. Perfil del coach deportivo<br>• Cualidades y habilidades<br>o Liderazgo<br>UNIDAD DIDÁCTICA 8. VALORES Y ACTITUDES EN<br>EL DEPORTE<br>1. Comunicación<br>2. Grupo, equipo y cohesión<br>3. Motivación<br>• Motivación del logro y competitividad<br>4. Autoconfianza<br>5. Empatía<br>6. Deportividad<br>UNIDAD DIDÁCTICA 9. PSICOLOGÍA DEL DEPORTE<br>Y COACHING DEPORTIVO<br>1. ¿Qué es la psicología del deporte?<br>• Funciones del psicólogo deportivo<br>o Diferencias entre psicólogo del<br>deporte y coach deportivo<br>• Similitudes entre la psicología del deporte y<br>el coaching deportivo<br>2. Personalidad en el deporte y el ejercicio físico<br>• ¿Cómo se forma la personalidad?']","https://www.emagister.com/assets/es/logos/centro/id/1155660/size/l.png","['l.png']","https://www.emagister.com/master-musculacion-fitness-master-coaching-deportivo-cursos-3632010.htm",
"Experto Universitario en Planificación de Programas Fitness","EFAD - Escuela de Formación Abierta para el Deporte","Precio a consultar","Experto universitario","Online","600h","Sin Datos",876871851,"Plantea tus dudas y otros usuarios podran responderte","['Módulo 1. Contextualización del Acondicionamiento Físico en el Tiempo de Ocio (6 Ects)', 'Fitness - Wellness', '·         ', ' ', 'Módulo 2. El Trabajo de los Principales Componentes de la Condición Física (6 Ects)', '·         ', ' ', 'Módulo 3. ', 'COORDINADOR DE CENTROS FITNESS- WELLNESS (6 ECTS)', ' ', 'Módulo 4. Planificación, Programación y Evaluación del Programa (6 Ects)', 'fitness-wellnes']","https://www.emagister.com/assets/es/logos/centro/id/127211/size/l.jpg","['l.jpg']","https://www.emagister.com/experto-universitario-planificacion-programas-fitness-cursos-2974688.htm",
"Máster en Entrenamiento Personal y Fitness","Fomento Profesional","Precio a consultar","Master","Online","Sin Datos","Sin Datos",900100990,"Plantea tus dudas y otros usuarios podran responderte","[]","https://www.emagister.com/assets/es/logos/centro/id/54345/size/l.jpg","['l.jpg']","https://www.emagister.com/master-entrenamiento-personal-fitness-cursos-3633526.htm",
"Master oficial universitario en educación física y deporte","ENALDE BUSINESS SCHOOL","3495.0","Master","Online","1 Año","Sin Datos",958050217,"Plantea tus dudas y otros usuarios podran responderte","['ModularioMódulo 1. Deporte y salud', 'módulo 2. Didáctica de la educación fisica', 'módulo 3. Actividades deportivas y discapacidad', 'módulo 4. Actividades físico recreativas para personas de la tercera edad', 'módulo 5. Actividades deportivo educativas en la naturaleza', 'módulo 6. Práctica deportiva en el medio natural', 'módulo 7. Ciudadanía, igualdad y educación física', 'módulo 8. Metodología para la investigación en deporte y educación física', 'módulo 9. Proyecto fin de máster']","https://www.emagister.com/assets/es/logos/centro/id/1168609/size/l.jpg","['l.jpg']","https://www.emagister.com/master-oficial-universitario-educacion-fisica-deporte-cursos-3735494.htm",
"Máster universitario en dirección y gestión deportiva","UNIR, la Universidad en Internet","Precio a consultar","Master oficial","Online","Sin Datos","Sin Datos",941944081,"Plantea tus dudas y otros usuarios podran responderte","['El temario de este Máster 100% Online es el siguiente:']","https://www.emagister.com/assets/es/logos/centro/id/173258/size/l.jpg","['l.jpg']","https://www.emagister.com/master-universitario-direccion-gestion-deportiva-cursos-3712309.htm",
"Máster Universitario en Gestión Deportiva","Universidad Internacional de Valencia (VIU)","Precio a consultar","Master oficial","Online","Sin Datos","Sin Datos",962642879,"Si te apasionan los deportes y te gustaria aprender mas sobre la administracion de centros deportivos o instituciones dedicadas a estas actividades   el Master Universitario en Gestion Deportiva de la Universidad Internacional de Valencia  VIU  es el programa que estabas buscando  A lo largo de los contenidos formativos que componen este programa desarrollaras las competencias que necesitas para comprender el mercado deportivo  sus tendencias y las posibilidades de negocio que hay dentro de este sector     Ademas  y como parte de tu formacion  aprenderas a desarrollar estrategias de mercadotecnia para promocionar este tipo de espacios  Por otro lado  tambien aprenderas los fundamentos de la administracion y la economia en la industria deportiva  la direccion y gestion de proyectos relacionados a este ambito  aspectos legales de la industria del deporte y gestion del consumidor en programas deportivos      No dejes pasar esta oportunidad para especializarte en la administracion de espacios deportivos  Solicita mas informacion a traves del portal de Emagister  y un asesor se pondra en contacto contigo lo antes posible para hacerte llegar todos los detalles de este master y que puedas comenzar ya","['TEMARIO']","https://www.emagister.com/assets/es/logos/centro/id/124268/size/l.jpg","['l.jpg']","https://www.emagister.com/master-universitario-gestion-deportiva-cursos-3456839.htm",
"Doble Máster en Gestión Deportiva con Programas Fitness Wellness","EFAD - Escuela de Formación Abierta para el Deporte","Precio a consultar","Master","Online","3000h","Sin Datos",876871851,"Plantea tus dudas y otros usuarios podran responderte","['Herramientas de gestión deportiva', 'Aspectos jurídicos de la gestión deportiva', 'Dirección Financiera', 'Marketing deportivo', 'Organización de Eventos y Diseño de Servicios Deportivos', 'Habilidades Directivas para la Gestión Deportiva', 'Gestión de Recursos Humanos en la Gestión Deportiva', 'Prevención de Riesgos Laborales en Instalaciones Deportivas', 'Gestión de Recursos Materiales en Instalaciones Deportivas', 'Gestión del Mantenimiento en las Instalaciones Deportivas', 'Sostenibilidad y gestión ambiental en las Instalaciones Deportivas', 'Control y Calidad en la Gestión de Instalaciones y Entidades Deportivas', 'Contextualización del acondicionamiento físico', 'El trabajo de los principales componentes de la condición física', 'Fitness-Wellness. Clases dirigidas', 'Fitness acuático', 'Entrenador personal', 'Planificación, programación y evaluación del programa', 'Proyecto fin de Máster']","https://www.emagister.com/assets/es/logos/centro/id/127211/size/l.jpg","['l.jpg']","https://www.emagister.com/doble-master-gestion-deportiva-programas-fitness-wellness-cursos-3397167.htm",
"Master en gestión deportiva y Sport Management","INESEM Business School","1795.0","Master","Online","1500h","Sin Datos",958912561,"Plantea tus dudas y otros usuarios podran responderte","['TEMRIO:', 'MÓDULO 1. GESTIÓN DE ESPACIOS E INSTALACIONES DEPORTIVAS', 'MÓDULO 2. DIRECCIÓN ESTRATÉGICA PARA ENTIDADES DEPORTIVAS.', 'MÓDULO 3. HABILIDADES DIRECTIVAS Y DE NEGOCIACIÓN.', 'MÓDULO 4. INICIATIVA EMPRESARIAL EN EL DEPORTE.', 'MÓDULO 5. ORGANIZACIÓN DE EVENTOS DEPORTIVOS.', 'MÓDULO 6. MARKETING Y SOCIAL MEDIA EN EL DEPORTE.', 'MÓDULO 7. DERECHO DEPORTIVO.', 'Módulo 8. COACHING Y MENTORING.']","https://www.emagister.com/assets/es/logos/centro/id/100811/size/l.jpg","['l.jpg']","https://www.emagister.com/master-gestion-deportiva-sport-management-cursos-3586942.htm",
"Master en Dirección y Gestión de Instalaciones Deportivas + Titulación Universitaria","Euroinnova Business School","1299.0","Master","Online","825h","Sin Datos",958912561,"Plantea tus dudas y otros usuarios podran responderte","[]","https://www.emagister.com/assets/es/logos/centro/id/56241/size/l.jpg","['l.jpg']","https://www.emagister.com/master-direccion-gestion-instalaciones-deportivas-titulacion-universitaria-cursos-2965051.htm",
